37 tensor(0.0013, device='cuda:0')
38 tensor(0.0014, device='cuda:0')
39 tensor(0.0013, device='cuda:0')
40 tensor(0.0012, device='cuda:0')
41 tensor(0.0016, device='cuda:0')
42 tensor(0.0012, device='cuda:0')
43 tensor(0.0016, device='cuda:0')
44 tensor(0.0011, device='cuda:0')
45 tensor(0.0012, device='cuda:0')
46 tensor(0.0011, device='cuda:0')
47 tensor(0.0013, device='cuda:0')
48 tensor(0.0017, device='cuda:0')
49 tensor(0.0015, device='cuda:0')
50 tensor(0.0012, device='cuda:0')
51 tensor(0.0010, device='cuda:0')
52 tensor(0.0010, device='cuda:0')
53 tensor(0.0013, device='cuda:0')
54 tensor(0.0011, device='cuda:0')
55 tensor(0.0011, device='cuda:0')
56 tensor(0.0010, device='cuda:0')
57 tensor(0.0011, device='cuda:0')
58 tensor(0.0013, device='cuda:0')
59 tensor(0.0009, device='cuda:0')
60 tensor(0.0010, device='cuda:0')
61 tensor(0.0014, device='cuda:0')
62 tensor(0.0011, device='cuda:0')
63 tensor(0.0013, device='cuda:0')
64 tensor(0.0010, device='cuda:0')
65 tensor(0.0010, device='cuda:0')
66 tensor(0.0012, device='cuda:0')
67 tensor(0.0010, device='cuda:0')
68 tensor(0.0010, device='cuda:0')
69 tensor(0.0009, device='cuda:0')
70 tensor(0.0010, device='cuda:0')
71 tensor(0.0011, device='cuda:0')
72 tensor(0.0009, device='cuda:0')
73 tensor(0.0010, device='cuda:0')
74 tensor(0.0008, device='cuda:0')
75 tensor(0.0012, device='cuda:0')
76 tensor(0.0010, device='cuda:0')
77 tensor(0.0009, device='cuda:0')
78 tensor(0.0009, device='cuda:0')
79 tensor(0.0007, device='cuda:0')
80 tensor(0.0010, device='cuda:0')
81 tensor(0.0007, device='cuda:0')
82 tensor(0.0009, device='cuda:0')
83 tensor(0.0010, device='cuda:0')
84 tensor(0.0010, device='cuda:0')
85 tensor(0.0011, device='cuda:0')
86 tensor(0.0010, device='cuda:0')
87 tensor(0.0008, device='cuda:0')
88 tensor(0.0010, device='cuda:0')
89 tensor(0.0008, device='cuda:0')
90 tensor(0.0008, device='cuda:0')
91 tensor(0.0007, device='cuda:0')
92 tensor(0.0012, device='cuda:0')
93 tensor(0.0012, device='cuda:0')
94 tensor(0.0008, device='cuda:0')
95 tensor(0.0007, device='cuda:0')
96 tensor(0.0010, device='cuda:0')
97 tensor(0.0009, device='cuda:0')
98 tensor(0.0010, device='cuda:0')
99 tensor(0.0009, device='cuda:0')
100 tensor(0.0007, device='cuda:0')
101 tensor(0.0008, device='cuda:0')
102 tensor(0.0007, device='cuda:0')
103 tensor(0.0007, device='cuda:0')
104 tensor(0.0006, device='cuda:0')
105 tensor(0.0008, device='cuda:0')
106 tensor(0.0006, device='cuda:0')
107 tensor(0.0006, device='cuda:0')
108 tensor(0.0008, device='cuda:0')
109 tensor(0.0007, device='cuda:0')
