0 tensor(0.0589, device='cuda:0')
1 tensor(0.0540, device='cuda:0')
2 tensor(0.0526, device='cuda:0')
3 tensor(0.0641, device='cuda:0')
4 tensor(0.0584, device='cuda:0')
5 tensor(0.0575, device='cuda:0')
6 tensor(0.0459, device='cuda:0')
7 tensor(0.0400, device='cuda:0')
8 tensor(0.0361, device='cuda:0')
9 tensor(0.0338, device='cuda:0')
10 tensor(0.0264, device='cuda:0')
11 tensor(0.0247, device='cuda:0')
12 tensor(0.0233, device='cuda:0')
13 tensor(0.0224, device='cuda:0')
14 tensor(0.0214, device='cuda:0')
15 tensor(0.0220, device='cuda:0')
16 tensor(0.0189, device='cuda:0')
17 tensor(0.0194, device='cuda:0')
18 tensor(0.0179, device='cuda:0')
19 tensor(0.0206, device='cuda:0')
20 tensor(0.0180, device='cuda:0')
21 tensor(0.0191, device='cuda:0')
22 tensor(0.0183, device='cuda:0')
23 tensor(0.0195, device='cuda:0')
24 tensor(0.0185, device='cuda:0')
25 tensor(0.0178, device='cuda:0')
26 tensor(0.0176, device='cuda:0')
27 tensor(0.0165, device='cuda:0')
28 tensor(0.0187, device='cuda:0')
29 tensor(0.0187, device='cuda:0')
30 tensor(0.0193, device='cuda:0')
31 tensor(0.0188, device='cuda:0')
32 tensor(0.0183, device='cuda:0')
33 tensor(0.0173, device='cuda:0')
34 tensor(0.0168, device='cuda:0')
35 tensor(0.0176, device='cuda:0')
36 tensor(0.0167, device='cuda:0')
37 tensor(0.0171, device='cuda:0')
38 tensor(0.0173, device='cuda:0')
39 tensor(0.0173, device='cuda:0')
40 tensor(0.0178, device='cuda:0')
41 tensor(0.0164, device='cuda:0')
42 tensor(0.0171, device='cuda:0')
43 tensor(0.0180, device='cuda:0')
44 tensor(0.0153, device='cuda:0')
45 tensor(0.0161, device='cuda:0')
46 tensor(0.0152, device='cuda:0')
47 tensor(0.0175, device='cuda:0')
48 tensor(0.0164, device='cuda:0')
49 tensor(0.0155, device='cuda:0')
50 tensor(0.0154, device='cuda:0')
51 tensor(0.0154, device='cuda:0')
52 tensor(0.0142, device='cuda:0')
53 tensor(0.0163, device='cuda:0')
54 tensor(0.0172, device='cuda:0')
55 tensor(0.0152, device='cuda:0')
56 tensor(0.0152, device='cuda:0')
57 tensor(0.0150, device='cuda:0')
58 tensor(0.0156, device='cuda:0')
59 tensor(0.0162, device='cuda:0')
60 tensor(0.0138, device='cuda:0')
61 tensor(0.0145, device='cuda:0')
62 tensor(0.0162, device='cuda:0')
63 tensor(0.0157, device='cuda:0')
64 tensor(0.0144, device='cuda:0')
65 tensor(0.0154, device='cuda:0')
66 tensor(0.0171, device='cuda:0')
67 tensor(0.0146, device='cuda:0')
68 tensor(0.0150, device='cuda:0')
69 tensor(0.0164, device='cuda:0')
70 tensor(0.0154, device='cuda:0')
71 tensor(0.0144, device='cuda:0')
72 tensor(0.0143, device='cuda:0')
73 tensor(0.0152, device='cuda:0')
74 tensor(0.0146, device='cuda:0')
75 tensor(0.0136, device='cuda:0')
76 tensor(0.0146, device='cuda:0')
77 tensor(0.0139, device='cuda:0')
78 tensor(0.0155, device='cuda:0')
79 tensor(0.0146, device='cuda:0')
80 tensor(0.0146, device='cuda:0')
81 tensor(0.0144, device='cuda:0')
82 tensor(0.0148, device='cuda:0')
83 tensor(0.0135, device='cuda:0')
84 tensor(0.0147, device='cuda:0')
85 tensor(0.0135, device='cuda:0')
86 tensor(0.0152, device='cuda:0')
87 tensor(0.0145, device='cuda:0')
88 tensor(0.0145, device='cuda:0')
89 tensor(0.0150, device='cuda:0')
90 tensor(0.0146, device='cuda:0')
91 tensor(0.0152, device='cuda:0')
92 tensor(0.0136, device='cuda:0')
93 tensor(0.0140, device='cuda:0')
94 tensor(0.0158, device='cuda:0')
95 tensor(0.0149, device='cuda:0')
96 tensor(0.0160, device='cuda:0')
97 tensor(0.0136, device='cuda:0')
98 tensor(0.0145, device='cuda:0')
99 tensor(0.0142, device='cuda:0')
100 tensor(0.0142, device='cuda:0')
101 tensor(0.0147, device='cuda:0')
102 tensor(0.0144, device='cuda:0')
103 tensor(0.0137, device='cuda:0')
104 tensor(0.0131, device='cuda:0')
105 tensor(0.0135, device='cuda:0')
106 tensor(0.0139, device='cuda:0')
107 tensor(0.0146, device='cuda:0')
108 tensor(0.0146, device='cuda:0')
109 tensor(0.0144, device='cuda:0')
110 tensor(0.0132, device='cuda:0')
111 tensor(0.0133, device='cuda:0')
112 tensor(0.0134, device='cuda:0')
113 tensor(0.0121, device='cuda:0')
114 tensor(0.0132, device='cuda:0')
115 tensor(0.0133, device='cuda:0')
116 tensor(0.0124, device='cuda:0')
117 tensor(0.0144, device='cuda:0')
118 tensor(0.0141, device='cuda:0')
119 tensor(0.0137, device='cuda:0')
120 tensor(0.0124, device='cuda:0')
121 tensor(0.0139, device='cuda:0')
122 tensor(0.0138, device='cuda:0')
123 tensor(0.0140, device='cuda:0')
124 tensor(0.0146, device='cuda:0')
125 tensor(0.0132, device='cuda:0')
126 tensor(0.0137, device='cuda:0')
127 tensor(0.0135, device='cuda:0')
128 tensor(0.0134, device='cuda:0')
129 tensor(0.0133, device='cuda:0')
130 tensor(0.0132, device='cuda:0')
131 tensor(0.0133, device='cuda:0')
132 tensor(0.0151, device='cuda:0')
133 tensor(0.0139, device='cuda:0')
134 tensor(0.0139, device='cuda:0')
135 tensor(0.0134, device='cuda:0')
136 tensor(0.0138, device='cuda:0')
137 tensor(0.0142, device='cuda:0')
138 tensor(0.0149, device='cuda:0')
139 tensor(0.0141, device='cuda:0')
140 tensor(0.0141, device='cuda:0')
141 tensor(0.0136, device='cuda:0')
142 tensor(0.0144, device='cuda:0')
143 tensor(0.0141, device='cuda:0')
144 tensor(0.0138, device='cuda:0')
145 tensor(0.0139, device='cuda:0')
146 tensor(0.0144, device='cuda:0')
147 tensor(0.0141, device='cuda:0')
148 tensor(0.0133, device='cuda:0')
149 tensor(0.0146, device='cuda:0')
150 tensor(0.0138, device='cuda:0')
151 tensor(0.0131, device='cuda:0')
152 tensor(0.0136, device='cuda:0')
153 tensor(0.0136, device='cuda:0')
154 tensor(0.0140, device='cuda:0')
155 tensor(0.0134, device='cuda:0')
156 tensor(0.0132, device='cuda:0')
157 tensor(0.0137, device='cuda:0')
158 tensor(0.0143, device='cuda:0')
159 tensor(0.0136, device='cuda:0')
160 tensor(0.0149, device='cuda:0')
161 tensor(0.0135, device='cuda:0')
162 tensor(0.0139, device='cuda:0')
163 tensor(0.0133, device='cuda:0')
164 tensor(0.0137, device='cuda:0')
165 tensor(0.0146, device='cuda:0')
166 tensor(0.0134, device='cuda:0')
167 tensor(0.0126, device='cuda:0')
168 tensor(0.0129, device='cuda:0')
169 tensor(0.0136, device='cuda:0')
170 tensor(0.0130, device='cuda:0')
171 tensor(0.0120, device='cuda:0')
172 tensor(0.0129, device='cuda:0')
173 tensor(0.0136, device='cuda:0')
174 tensor(0.0136, device='cuda:0')
175 tensor(0.0125, device='cuda:0')
176 tensor(0.0128, device='cuda:0')
177 tensor(0.0136, device='cuda:0')
178 tensor(0.0135, device='cuda:0')
179 tensor(0.0129, device='cuda:0')
180 tensor(0.0130, device='cuda:0')
181 tensor(0.0136, device='cuda:0')
182 tensor(0.0134, device='cuda:0')
183 tensor(0.0145, device='cuda:0')
184 tensor(0.0123, device='cuda:0')
185 tensor(0.0132, device='cuda:0')
186 tensor(0.0133, device='cuda:0')
187 tensor(0.0125, device='cuda:0')
188 tensor(0.0137, device='cuda:0')
189 tensor(0.0133, device='cuda:0')
190 tensor(0.0138, device='cuda:0')
191 tensor(0.0136, device='cuda:0')
192 tensor(0.0130, device='cuda:0')
193 tensor(0.0126, device='cuda:0')
194 tensor(0.0125, device='cuda:0')
195 tensor(0.0132, device='cuda:0')
196 tensor(0.0129, device='cuda:0')
197 tensor(0.0129, device='cuda:0')
198 tensor(0.0122, device='cuda:0')
199 tensor(0.0138, device='cuda:0')
