0 tensor(0.0711, device='cuda:0')
1 tensor(0.0373, device='cuda:0')
2 tensor(0.0062, device='cuda:0')
3 tensor(0.0049, device='cuda:0')
4 tensor(0.0027, device='cuda:0')
5 tensor(0.0037, device='cuda:0')
6 tensor(0.0016, device='cuda:0')
7 tensor(0.0023, device='cuda:0')
8 tensor(0.0018, device='cuda:0')
9 tensor(0.0026, device='cuda:0')
10 tensor(0.0013, device='cuda:0')
11 tensor(0.0018, device='cuda:0')
12 tensor(0.0019, device='cuda:0')
13 tensor(0.0013, device='cuda:0')
14 tensor(0.0013, device='cuda:0')
15 tensor(0.0011, device='cuda:0')
16 tensor(0.0012, device='cuda:0')
17 tensor(0.0015, device='cuda:0')
18 tensor(0.0013, device='cuda:0')
19 tensor(0.0017, device='cuda:0')
20 tensor(0.0010, device='cuda:0')
21 tensor(0.0009, device='cuda:0')
22 tensor(0.0015, device='cuda:0')
23 tensor(0.0013, device='cuda:0')
24 tensor(0.0011, device='cuda:0')
25 tensor(0.0013, device='cuda:0')
26 tensor(0.0012, device='cuda:0')
27 tensor(0.0010, device='cuda:0')
28 tensor(0.0011, device='cuda:0')
29 tensor(0.0010, device='cuda:0')
30 tensor(0.0012, device='cuda:0')
31 tensor(0.0011, device='cuda:0')
32 tensor(0.0010, device='cuda:0')
33 tensor(0.0008, device='cuda:0')
34 tensor(0.0010, device='cuda:0')
35 tensor(0.0011, device='cuda:0')
36 tensor(0.0008, device='cuda:0')
37 tensor(0.0008, device='cuda:0')
38 tensor(0.0010, device='cuda:0')
39 tensor(0.0008, device='cuda:0')
40 tensor(0.0014, device='cuda:0')
41 tensor(0.0007, device='cuda:0')
42 tensor(0.0007, device='cuda:0')
43 tensor(0.0007, device='cuda:0')
44 tensor(0.0008, device='cuda:0')
45 tensor(0.0006, device='cuda:0')
46 tensor(0.0007, device='cuda:0')
47 tensor(0.0006, device='cuda:0')
48 tensor(0.0010, device='cuda:0')
49 tensor(0.0008, device='cuda:0')
50 tensor(0.0006, device='cuda:0')
51 tensor(0.0008, device='cuda:0')
52 tensor(0.0006, device='cuda:0')
53 tensor(0.0009, device='cuda:0')
54 tensor(0.0006, device='cuda:0')
55 tensor(0.0006, device='cuda:0')
56 tensor(0.0006, device='cuda:0')
57 tensor(0.0008, device='cuda:0')
58 tensor(0.0005, device='cuda:0')
59 tensor(0.0005, device='cuda:0')
60 tensor(0.0005, device='cuda:0')
61 tensor(0.0005, device='cuda:0')
62 tensor(0.0004, device='cuda:0')
63 tensor(0.0004, device='cuda:0')
64 tensor(0.0004, device='cuda:0')
65 tensor(0.0004, device='cuda:0')
66 tensor(0.0003, device='cuda:0')
67 tensor(0.0003, device='cuda:0')
68 tensor(0.0003, device='cuda:0')
69 tensor(0.0003, device='cuda:0')
70 tensor(0.0003, device='cuda:0')
71 tensor(0.0003, device='cuda:0')
72 tensor(0.0003, device='cuda:0')
73 tensor(0.0003, device='cuda:0')
74 tensor(0.0004, device='cuda:0')
75 tensor(0.0002, device='cuda:0')
76 tensor(0.0002, device='cuda:0')
77 tensor(0.0002, device='cuda:0')
78 tensor(0.0001, device='cuda:0')
79 tensor(0.0001, device='cuda:0')
